h				approx					difference/error
1.0				0.38260348236197916			0.03188362351741148
0.5				0.4075490368602161			0.008490604931191595
0.1				0.41580016309238904			3.4650013577172423E-4
0.01				0.4161433686711291			3.4678614042055987E-6
0.001				0.4161468019070469			3.4678900145049016E-8
1.0E-4				0.41614681700608			3.4678901403301775E-10
1.0E-5				0.4161471167662966			3.4678926383319825E-12
1.0E-6				0.41600056732704616			3.466671393005383E-14
1.0E-7				0.4385380947269369			3.65448412126268E-16
1.0E-8				1.1102230246251563			9.251858534842228E-18
1.0E-9				55.51115123125782			4.625929267421114E-18
1.0E-10				5551.115123125782			4.625929267421114E-18
1.0E-11				555111.5123125783			4.625929267421114E-18
1.0E-12				0.0					0.0
1.0E-13				5.551115123125782E9			4.6259292674211135E-18
1.0E-14				-1.6653345369377349E12			-1.3877787802263343E-17
1.0E-15				2.7755575615628912E14			2.3129646337105573E-17
1.0E-16				0.0					0.0
1.0E-17				0.0					0.0
